,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
747,tt0000757,short,She,She,0,1908,\N,\N,"Fantasy,Sci-Fi,Short"
753,tt0000763,short,The Snowman,The Snowman,0,1908,\N,\N,Short
1132,tt0001144,short,The Call,The Call,0,1910,\N,11,"Drama,Short"
1667,tt0001682,short,Home,Home,0,1911,\N,\N,"Drama,Short"
1857,tt0001877,short,She,She,0,1911,\N,24,"Fantasy,Sci-Fi,Short"
2148,tt0002173,short,The Father,The Father,0,1912,\N,\N,"Drama,Short"
2251,tt0002277,short,The Informer,The Informer,0,1912,\N,18,"Drama,Short"
2367,tt0002394,short,The Nurse,The Nurse,0,1912,\N,\N,"Drama,Short"
2518,tt0002545,short,Twilight,Twilight,0,1912,\N,\N,"Drama,Romance,Short"
2839,tt0002866,short,First Love,First Love,0,1913,\N,\N,"Comedy,Romance,Short"
3446,tt0003481,short,The Turning Point,The Turning Point,0,1913,\N,\N,"Drama,Short"
3570,tt0003606,movie,Aftermath,Aftermath,0,1914,\N,\N,Drama
3972,tt0004015,short,The Ghost,The Ghost,0,1913,\N,\N,"Drama,Short"
4110,tt0004157,short,The Informer,The Informer,0,1914,\N,\N,"Drama,Short"
4137,tt0004185,short,Kate,Kate,0,1914,\N,40,"Drama,Short"
5242,tt0005308,movie,Fatherhood,Fatherhood,0,1915,\N,\N,Western
5437,tt0005504,movie,Home,Home,0,1915,\N,\N,"Drama,Romance"
6360,tt0006437,movie,The Blacklist,The Blacklist,0,1916,\N,50,Drama
7098,tt0007190,movie,Playing with Fire,Playing with Fire,0,1916,\N,50,Drama
7238,tt0007330,movie,She,She,0,1916,\N,\N,"Fantasy,Sci-Fi"
7779,tt0007885,movie,The Empress,The Empress,0,1917,\N,50,Drama
7936,tt0008044,movie,Happiness,Happiness,0,1917,\N,50,"Comedy,Drama"
8447,tt0008565,movie,She,She,0,1917,\N,50,"Drama,Fantasy,Sci-Fi"
8576,tt0008694,movie,Treason,Treason,0,1917,\N,50,"Drama,War"
9181,tt0009309,movie,Little Women,Little Women,0,1918,\N,60,"Drama,Family,Romance"
9250,tt0009382,movie,Missing,Missing,0,1918,\N,50,"Drama,War"
9527,tt0009659,short,The Stranger,The Stranger,0,1918,\N,20,"Comedy,Short,Western"
10001,tt0010137,movie,"For Better, for Worse","For Better, for Worse",0,1919,\N,70,Drama
10124,tt0010261,movie,Home,Home,0,1919,\N,60,Drama
10391,tt0010532,movie,Open Your Eyes,Open Your Eyes,0,1919,\N,70,Drama
10960,tt0011115,movie,Devotion,Devotion,0,1921,\N,\N,Drama
12000,tt0012173,movie,First Love,First Love,0,1921,\N,50,"Comedy,Romance"
12391,tt0012571,movie,Playing with Fire,Playing with Fire,0,1921,\N,50,Comedy
13320,tt0013520,short,Puss in Boots,Puss in Boots,0,1922,\N,9,"Animation,Short"
13403,tt0013607,movie,Sky High,Sky High,0,1922,\N,58,"Action,Drama,Romance"
14037,tt0014253,movie,A Man of Action,A Man of Action,0,1923,\N,60,"Comedy,Crime,Drama"
14376,tt0014608,short,The Whole Truth,The Whole Truth,0,1923,\N,10,"Comedy,Short"
14734,tt0014968,movie,Happiness,Happiness,0,1924,\N,76,Comedy
15134,tt0015372,movie,The Stranger,The Stranger,0,1924,\N,70,Drama
15444,tt0015684,movie,The Circle,The Circle,0,1925,\N,71,"Comedy,Drama"
16089,tt0016338,movie,She,She,0,1925,\N,98,"Adventure,Fantasy,Sci-Fi"
16548,tt0016800,short,Dog Gone,Dog Gone,0,1926,\N,7,"Animation,Comedy,Short"
16913,tt0017166,movie,Monte Carlo,Monte Carlo,0,1926,\N,70,"Comedy,Romance"
16914,tt0017167,movie,Monte Carlo,Monte Carlo,0,1925,\N,\N,\N
16995,tt0017250,movie,Paradise,Paradise,0,1926,\N,80,"Drama,Romance"
17014,tt0017269,short,Playing with Fire,Playing with Fire,0,1926,\N,7,"Animation,Comedy,Short"
17099,tt0017354,movie,The Sea Beast,The Sea Beast,0,1926,\N,136,"Action,Adventure,Fantasy"
17240,tt0017496,movie,Under Fire,Under Fire,0,1926,\N,50,Western
17771,tt0018033,movie,It,It,0,1927,\N,72,"Comedy,Romance"
18480,tt0018753,movie,Celebrity,Celebrity,0,1928,\N,65,"Drama,Romance,Sport"
18761,tt0019037,movie,Into the Night,Into the Night,0,1928,\N,\N,"Crime,Drama"
18964,tt0019247,movie,Paradise,Paradise,0,1928,\N,87,"Drama,Romance"
19114,tt0019398,movie,Skyscraper,Skyscraper,0,1928,\N,68,Drama
19588,tt0019884,movie,Flight,Flight,0,1929,\N,110,"Action,Adventure,Romance"
19727,tt0020025,movie,The Informer,The Informer,0,1929,\N,83,Drama
19986,tt0020291,movie,Prisoners,Prisoners,0,1929,\N,87,"Crime,Drama,Romance"
20314,tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,\N,152,"Drama,War"
20690,tt0021017,movie,Just Like Heaven,Just Like Heaven,0,1930,\N,70,"Drama,Romance"
20825,tt0021153,movie,Monte Carlo,Monte Carlo,0,1930,\N,90,"Comedy,Musical,Romance"
20961,tt0021292,movie,Redemption,Redemption,0,1930,\N,75,Drama
21202,tt0021543,movie,What Men Want,What Men Want,0,1930,\N,65,"Drama,Romance"
21451,tt0021798,movie,Devotion,Devotion,0,1931,\N,81,"Comedy,Drama,Romance"
21853,tt0022211,movie,No Limit,No Limit,0,1931,\N,72,"Comedy,Drama,Musical"
21872,tt0022231,short,One More Time,One More Time,0,1931,\N,7,"Animation,Comedy,Family"
21936,tt0022296,movie,Rebound,Rebound,0,1931,\N,89,Drama
22135,tt0022500,movie,Transatlantic,Transatlantic,0,1931,\N,78,"Comedy,Drama"
22155,tt0022520,movie,Unfaithful,Unfaithful,0,1931,\N,85,"Drama,Romance"
22396,tt0022772,movie,Collision,Collision,0,1932,\N,88,"Crime,Drama"
22855,tt0023245,movie,The Mummy,The Mummy,0,1932,\N,73,"Fantasy,Horror"
23771,tt0024184,movie,The Invisible Man,The Invisible Man,0,1933,\N,71,"Horror,Sci-Fi"
23849,tt0024264,movie,Little Women,Little Women,0,1933,\N,115,"Drama,Family,Romance"
23882,tt0024298,movie,The Man from Toronto,The Man from Toronto,0,1933,\N,77,"Comedy,Romance"
24268,tt0024694,movie,Treason,Treason,0,1933,\N,63,"Action,Adventure,Drama"
24436,tt0024866,short,Beauty and the Beast,Beauty and the Beast,0,1934,\N,8,"Animation,Comedy,Family"
25804,tt0026261,movie,Dangerous,Dangerous,0,1935,\N,79,"Drama,Romance"
26065,tt0026529,movie,The Informer,The Informer,0,1935,\N,91,"Crime,Drama"
26168,tt0026637,movie,The Healer,The Healer,0,1935,\N,76,Drama
26247,tt0026718,movie,Mimi,Mimi,0,1935,\N,94,"Drama,Romance"
26313,tt0026784,movie,No Limit,No Limit,0,1935,\N,80,"Comedy,Musical,Sport"
26506,tt0026983,movie,She,She,0,1935,\N,101,"Adventure,Fantasy,Romance"
26612,tt0027089,short,Thicker Than Water,Thicker Than Water,0,1935,\N,21,"Comedy,Short"
26660,tt0027140,movie,Turn of the Tide,Turn of the Tide,0,1935,\N,80,"Drama,Romance"
26737,tt0027219,movie,Windfall,Windfall,0,1935,\N,65,Drama
27413,tt0027906,movie,The Longest Night,The Longest Night,0,1936,\N,51,"Comedy,Crime,Music"
27863,tt0028364,movie,Thoroughbred,Thoroughbred,0,1936,\N,78,"Crime,Drama,Sport"
27975,tt0028478,movie,The Walking Dead,The Walking Dead,0,1936,\N,66,"Crime,Drama,Horror"
29814,tt0030346,movie,The Last Stand,The Last Stand,0,1938,\N,56,"Drama,Music,Western"
30333,tt0030879,movie,Too Hot to Handle,Too Hot to Handle,0,1938,\N,107,"Adventure,Comedy,Drama"
30608,tt0031159,movie,Cirkus,Cirkus,0,1939,\N,100,Drama
30756,tt0031311,movie,First Love,First Love,0,1939,\N,84,"Comedy,Music,Musical"
33318,tt0033922,movie,Mr. & Mrs. Smith,Mr. & Mrs. Smith,0,1941,\N,95,"Comedy,Romance"
35466,tt0036098,movie,Lassie Come Home,Lassie Come Home,0,1943,\N,89,"Adventure,Drama,Family"
35805,tt0036443,movie,Titanic,Titanic,0,1943,\N,85,"Action,Drama,History"
35834,tt0036473,movie,Underground Guerrillas,Undercover,0,1943,\N,89,"Drama,War"
35904,tt0036544,short,Women at War,Women at War,0,1943,\N,21,"Drama,Short,War"
36145,tt0036790,movie,End of the Road,End of the Road,0,1944,\N,51,"Crime,Drama,Film-Noir"
37799,tt0038474,movie,Devotion,Devotion,0,1946,\N,107,"Biography,Drama,Mystery"
37965,tt0038643,movie,Inside Job,Inside Job,0,1946,\N,65,"Crime,Drama,Film-Noir"
38313,tt0038991,movie,The Stranger,The Stranger,0,1946,\N,95,"Crime,Drama,Film-Noir"
38754,tt0039439,movie,The Guilty,The Guilty,0,1947,\N,71,"Crime,Film-Noir,Mystery"
39906,tt0040610,short,Mother's Day,Mother's Day,0,1948,\N,22,Short
40738,tt0041460,movie,The Hidden Room,Obsession,0,1949,\N,96,"Crime,Film-Noir,Thriller"
40868,tt0041594,movie,Little Women,Little Women,0,1949,\N,122,"Drama,Family,Romance"
41520,tt0042258,movie,Blackout,Blackout,0,1950,\N,73,"Crime,Drama,Mystery"
43029,tt0043794,movie,The Medium,The Medium,0,1951,\N,84,"Drama,Music"
43509,tt0044290,tvSeries,Rebound,Rebound,0,1952,1953,30,"Drama,Mystery"
44357,tt0045157,movie,Sky High,Sky High,0,1951,\N,60,Comedy
44467,tt0045267,movie,The Turning Point,The Turning Point,0,1952,\N,85,"Crime,Drama,Film-Noir"
44685,tt0045490,movie,All American,All American,0,1953,\N,83,"Drama,Romance,Sport"
45008,tt0045815,movie,The Girl Next Door,The Girl Next Door,0,1953,\N,92,"Comedy,Musical"
45232,tt0046047,movie,The Marksman,The Marksman,0,1953,\N,62,Western
45612,tt0046435,movie,Titanic,Titanic,0,1953,\N,98,"Drama,History,Romance"
46149,tt0046991,movie,Cocktails in the Kitchen,"For Better, for Worse",0,1954,\N,85,"Comedy,Romance"
46443,tt0047291,movie,Obsession,Obsession,0,1954,\N,100,"Crime,Drama"
47858,tt0048734,movie,Top Gun,Top Gun,0,1955,\N,73,"Drama,Western"
48409,tt0049291,movie,The Harder They Fall,The Harder They Fall,0,1956,\N,109,"Drama,Film-Noir,Sport"
48496,tt0049379,movie,Jaguar,Jaguar,0,1956,\N,66,Adventure
49770,tt0050682,movie,Man on Fire,Man on Fire,0,1957,\N,95,Drama
50203,tt0051129,movie,Under Fire,Under Fire,0,1957,\N,76,"Drama,War"
50265,tt0051193,movie,Wild Is the Wind,Wild Is the Wind,0,1957,\N,114,Drama
50355,tt0051285,tvSeries,The Invisible Man,The Invisible Man,0,1958,1960,30,"Drama,Sci-Fi,Thriller"
51419,tt0052391,movie,The Whole Truth,The Whole Truth,0,1958,\N,84,"Crime,Drama,Mystery"
52094,tt0053085,movie,The Mummy,The Mummy,0,1959,\N,86,"Adventure,Horror"
52282,tt0053282,short,Skyscraper,Skyscraper,0,1960,\N,20,"Documentary,Short"
52361,tt0053365,movie,Playgirl After Dark,Too Hot to Handle,0,1960,\N,90,"Crime,Drama,Romance"
52518,tt0053527,tvSeries,Outlaws,Outlaws,0,1960,1962,60,Western
52563,tt0053574,tvMovie,Aftermath,Aftermath,0,1960,\N,22,\N
53372,tt0054399,movie,Transatlantic,Transatlantic,0,1960,\N,63,"Crime,Drama"
54357,tt0055402,movie,Sanctuary,Sanctuary,0,1961,\N,90,Drama
54723,tt0055781,movie,Beauty and the Beast,Beauty and the Beast,0,1962,\N,77,"Family,Fantasy,Horror"
55737,tt0056821,short,Alone,Alone,0,1964,\N,13,Short
57705,tt0058824,tvSeries,Lost in Space,Lost in Space,0,1965,1968,60,"Adventure,Comedy,Family"
58452,tt0059587,short,Phenomena,Phenomena,0,1968,\N,7,Short
58571,tt0059710,movie,She,She,0,1965,\N,106,"Adventure,Fantasy"
59234,tt0060396,movie,The Bubble,The Bubble,0,1966,\N,112,Sci-Fi
59377,tt0060542,movie,Intimacy,Intimacy,0,1966,\N,87,Drama
59379,tt0060544,movie,Invasion,Invasion,0,1965,\N,82,"Drama,Sci-Fi"
59415,tt0060581,movie,Kaleidoscope,Kaleidoscope,0,1966,\N,103,"Comedy,Crime"
59556,tt0060727,tvEpisode,The Murderer,The Murderer,0,1966,\N,60,Drama
60116,tt0061301,tvSeries,Spider-Man,Spider-Man,0,1967,1970,25,"Action,Adventure,Animation"
61171,tt0062395,movie,The Trip,The Trip,0,1967,\N,82,Drama
62688,tt0063962,tvSeries,UFO,UFO,0,1970,1971,45,"Action,Sci-Fi"
63287,tt0064573,movie,Last Summer,Last Summer,0,1969,\N,95,Drama
64056,tt0065362,short,1917,1917,0,1970,\N,34,"Short,War"
64378,tt0065692,movie,End of the Road,End of the Road,0,1970,\N,110,"Comedy,Drama"
64805,tt0066126,movie,The Losers,The Losers,0,1970,\N,95,"Action,Drama,Thriller"
64861,tt0066183,movie,One More Time,One More Time,0,1970,\N,92,"Comedy,Thriller"
65361,tt0066702,tvMiniSeries,Persuasion,Persuasion,0,1971,1971,225,"History,Romance"
65742,tt0067086,short,The Father,The Father,0,1969,\N,31,Short
66528,tt0067883,movie,Troll,Troll,0,1971,\N,99,"Comedy,Drama"
66574,tt0067934,movie,The Legend of Spider Forest,Venom,0,1971,\N,91,Horror
67313,tt0068688,movie,Heat,Heat,0,1972,\N,102,"Comedy,Drama,Romance"
67495,tt0068875,tvMovie,The Longest Night,The Longest Night,0,1972,\N,74,Drama
67994,tt0069393,movie,Tomorrow,Tomorrow,0,1972,\N,103,Drama
68110,tt0069515,movie,The Wrath of God,The Wrath of God,0,1972,\N,111,"Adventure,Drama,Western"
68236,tt0069644,tvSeries,Thicker Than Water,Thicker Than Water,0,1973,1973,30,Comedy
68322,tt0069732,movie,Arnold,Arnold,0,1973,\N,94,"Comedy,Horror,Mystery"
69118,tt0070562,movie,Prisoners,Prisoners,0,1975,\N,88,"Crime,Drama,War"
69295,tt0070742,tvMovie,The Stranger,The Stranger,0,1973,\N,100,Sci-Fi
69932,tt0071395,tvMovie,The Dead Don't Die,The Dead Don't Die,0,1975,\N,74,"Horror,Thriller"
70168,tt0071636,short,Hunger,Hunger,0,1974,\N,12,"Animation,Comedy,Horror"
70299,tt0071771,movie,The Longest Yard,The Longest Yard,0,1974,\N,121,"Comedy,Crime,Drama"
70658,tt0072138,tvEpisode,Senior Year,Senior Year,0,1974,\N,73,Drama
70842,tt0072332,movie,Two,Two,0,1974,\N,93,Drama
71019,tt0072515,tvSeries,The Invisible Man,The Invisible Man,0,1975,1976,60,"Adventure,Sci-Fi,Thriller"
71064,tt0072560,tvSeries,S.W.A.T.,S.W.A.T.,0,1975,1976,50,"Action,Crime,Drama"
71078,tt0072574,tvSeries,Switch,Switch,0,1975,1978,90,"Action,Crime,Drama"
71101,tt0072597,movie,Abduction,Abduction,0,1975,\N,95,"Crime,Drama,Thriller"
71556,tt0073060,tvEpisode,Goodbye,Goodbye,0,1975,\N,78,"Comedy,Drama"
71625,tt0073133,movie,Hustle,Hustle,0,1975,\N,120,"Crime,Drama,Mystery"
71669,tt0073178,tvEpisode,The Invisible Man,The Invisible Man,0,1975,\N,90,"Adventure,Sci-Fi,Thriller"
71875,tt0073391,movie,Mili,Mili,0,1975,\N,150,"Drama,Family,Musical"
72438,tt0073972,tvSeries,Charlie's Angels,Charlie's Angels,0,1976,1981,60,"Action,Adventure,Crime"
72460,tt0073994,tvSeries,Gemini Man,Gemini Man,0,1976,1976,60,"Action,Adventure,Sci-Fi"
72654,tt0074193,tvMovie,Beauty and the Beast,Beauty and the Beast,0,1976,\N,74,"Family,Fantasy,Romance"
72758,tt0074301,tvEpisode,Charlie's Angels,Charlie's Angels,0,1976,\N,74,"Action,Adventure,Crime"
73152,tt0074709,tvMovie,Dynasty,Dynasty,0,1976,\N,100,Drama
73375,tt0074938,short,The Murderer,The Murderer,0,1976,\N,28,Short
73427,tt0074991,movie,Obsession,Obsession,0,1976,\N,98,"Drama,Mystery,Thriller"
73766,tt0075339,movie,Too Hot to Handle,Too Hot to Handle,0,1977,\N,85,"Action,Drama,Thriller"
74086,tt0075671,tvEpisode,Spider-Man,Spider-Man,0,1977,\N,92,"Action,Adventure,Crime"
74439,tt0076033,movie,First Love,First Love,0,1977,\N,92,"Drama,Romance"
75226,tt0076843,movie,The Turning Point,The Turning Point,0,1977,\N,119,"Drama,Music,Romance"
75353,tt0076975,tvSeries,The Amazing Spider-Man,The Amazing Spider-Man,0,1977,1979,60,"Action,Adventure,Crime"
75421,tt0077044,tvSeries,The Losers,The Losers,0,1978,1978,30,Comedy
75614,tt0077241,movie,Blackout,Blackout,0,1978,\N,92,"Action,Thriller"
75820,tt0077451,movie,Don,Don,0,1978,\N,175,"Action,Crime,Thriller"
76281,tt0077917,movie,Matilda,Matilda,0,1978,\N,105,"Comedy,Crime,Family"
76698,tt0078350,movie,The Swarm,The Swarm,0,1978,\N,116,"Horror,Thriller"
76820,tt0078476,movie,The Watcher,The Watcher,0,1978,\N,\N,\N
76983,tt0078643,tvMiniSeries,Little Women,Little Women,0,1978,1978,194,"Drama,Family,Romance"
77088,tt0078753,tvMovie,All Quiet on the Western Front,All Quiet on the Western Front,0,1979,\N,123,"Drama,War"
77544,tt0079219,movie,Going in Style,Going in Style,0,1979,\N,97,"Comedy,Crime,Drama"
77683,tt0079361,movie,Jaguar,Jaguar,0,1979,\N,100,"Crime,Drama"
78277,tt0079978,movie,Switch,Switch,0,1979,\N,102,Comedy
78826,tt0080546,movie,The Club,The Club,0,1980,\N,96,"Comedy,Drama,Sport"
79451,tt0081186,movie,Mother's Day,Mother's Day,0,1980,\N,91,"Comedy,Horror,Thriller"
79838,tt0081593,movie,Taboo,Taboo,1,1980,\N,86,"Adult,Drama"
80089,tt0081856,tvSeries,Dynasty,Dynasty,0,1981,1989,60,"Drama,Romance"
80170,tt0081938,tvSeries,Spider-Man,Spider-Man,0,1981,1982,30,"Action,Adventure,Animation"
80221,tt0081989,movie,The Agency,Agency,0,1980,\N,94,"Drama,Sci-Fi,Thriller"
80398,tt0082171,tvMovie,The Choice,The Choice,0,1981,\N,95,Drama
80721,tt0082500,movie,Hard Feelings,Hard Feelings,0,1981,\N,105,Drama
80856,tt0082640,movie,Lady Chatterley's Lover,Lady Chatterley's Lover,0,1981,\N,104,"Drama,Romance"
81155,tt0082947,movie,Prisoners,Prisoners,0,1983,\N,95,Drama
82505,tt0084335,movie,Missing,Missing,0,1982,\N,122,"Biography,Drama,History"
82632,tt0084469,movie,Paradise,Paradise,0,1982,\N,100,"Adventure,Romance"
82716,tt0084554,tvMovie,Puss in Boots,Puss in Boots,0,1982,\N,\N,"Comedy,Drama,Musical"
82856,tt0084701,tvMovie,The Snowman,The Snowman,0,1982,\N,26,"Adventure,Animation,Family"
83004,tt0084854,movie,Venom,Venom,0,1981,\N,93,"Horror,Thriller"
83483,tt0085346,movie,Class,Class,0,1983,\N,98,"Comedy,Drama,Romance"
83600,tt0085471,movie,Echoes,Echoes,0,1982,\N,89,"Drama,Horror,Mystery"
83806,tt0085683,tvSeries,Home,Home,0,1983,1983,25,"Drama,Family"
84615,tt0086510,movie,Under Fire,Under Fire,0,1983,\N,128,"Drama,War"
84616,tt0086511,movie,Undercover,Undercover,0,1983,\N,100,"Comedy,History"
84778,tt0086679,tvMiniSeries,Celebrity,Celebrity,0,1984,1984,313,Drama
84966,tt0086872,movie,Prey,Prey,0,1977,\N,78,"Horror,Mystery,Sci-Fi"
85320,tt0087235,tvMovie,Family Secrets,Family Secrets,0,1984,\N,120,Drama
85500,tt0087420,short,Home,Home,0,1984,\N,\N,Short
85558,tt0087478,tvMiniSeries,The Invisible Man,The Invisible Man,0,1984,1984,165,"Crime,Drama,Horror"
85901,tt0087830,movie,Oddballs,Oddballs,0,1984,\N,91,Comedy
85948,tt0087880,short,Paradise,Paradise,0,1984,\N,15,"Animation,Comedy,Family"
85977,tt0087909,movie,Phenomena,Phenomena,0,1985,\N,116,"Crime,Horror,Mystery"
86023,tt0087956,movie,Purple Hearts,Purple Hearts,0,1984,\N,116,"Drama,War"
86856,tt0088816,movie,Blackout,Blackout,0,1985,\N,100,"Crime,Drama,Horror"
87302,tt0089269,movie,Hellhole,Hellhole,0,1985,\N,95,"Action,Drama,Horror"
87377,tt0089346,movie,Into the Night,Into the Night,0,1985,\N,115,"Action,Comedy,Crime"
87836,tt0089815,tvMovie,Playing with Fire,Playing with Fire,0,1985,\N,100,"Crime,Drama"
88028,tt0090009,movie,She,She,0,1984,\N,106,"Action,Adventure,Fantasy"
88168,tt0090155,tvMovie,Thicker Than Water,Thicker Than Water,0,1986,\N,90,Drama
88501,tt0090498,tvSeries,Outlaws,Outlaws,0,1986,1987,60,"Action,Crime,Sci-Fi"
88616,tt0090614,movie,Alone,Alone,0,1986,\N,\N,\N
88736,tt0090736,movie,Blackout,Blackout,0,1986,\N,87,"Crime,Drama,Thriller"
88997,tt0091005,movie,Elysium,Elysium,0,1987,\N,118,"Drama,War"
89529,tt0091547,tvMiniSeries,Monte Carlo,Monte Carlo,0,1986,1986,200,Drama
89684,tt0091708,tvEpisode,Outlaws,Outlaws,0,1986,\N,97,"Action,Crime,Sci-Fi"
90068,tt0092099,movie,Top Gun,Top Gun,0,1986,\N,109,"Action,Drama"
90084,tt0092115,movie,Troll,Troll,0,1986,\N,82,"Comedy,Fantasy,Horror"
90274,tt0092312,tvSeries,21 Jump Street,21 Jump Street,0,1987,1991,60,"Crime,Drama,Mystery"
90281,tt0092319,tvSeries,Beauty and the Beast,Beauty and the Beast,0,1987,1990,60,"Crime,Drama,Fantasy"
90582,tt0092626,movie,Beauty and the Beast,Beauty and the Beast,0,1987,\N,94,"Family,Fantasy,Musical"
90626,tt0092673,movie,Blood Sisters,Blood Sisters,0,1987,\N,86,"Horror,Thriller"
91106,tt0093164,movie,Heat,Heat,0,1986,\N,101,"Action,Crime,Drama"
91424,tt0093489,movie,Man on Fire,Man on Fire,0,1987,\N,92,"Action,Drama,Thriller"
91852,tt0093933,short,Seasons,Seasons,0,\N,\N,32,"Documentary,Short"
91982,tt0094071,movie,Summer Heat,Summer Heat,0,1987,\N,80,Drama
92379,tt0094473,tvSeries,Paradise,Paradise,0,1988,1990,60,Western
92477,tt0094574,tvSeries,Unsolved Mysteries,Unsolved Mysteries,0,1987,2010,60,"Crime,Documentary,Drama"
92656,tt0094756,movie,Blackout,Blackout,0,1988,\N,87,"Drama,Thriller"
92750,tt0094851,movie,Centauro,Centauro,0,1988,\N,\N,\N
92769,tt0094870,movie,The Choice,The Choice,0,1988,\N,\N,\N
92846,tt0094947,movie,Dangerous Liaisons,Dangerous Liaisons,0,1988,\N,119,"Drama,Romance"
93176,tt0095285,movie,Heartstopper,Heartstopper,0,1989,\N,90,Horror
93973,tt0096100,tvMovie,Shooter,Shooter,0,1988,\N,100,"Action,Drama"
94882,tt0097037,movie,The Chair,The Chair,0,1988,\N,100,Horror
95440,tt0097609,movie,Jaadugar,Jaadugar,0,1989,\N,173,"Comedy,Fantasy"
95741,tt0097916,tvMovie,Mother's Day,Mother's Day,0,1989,\N,105,"Crime,Drama"
96154,tt0098335,movie,Sing,Sing,0,1989,\N,98,"Drama,Musical"
96721,tt0098921,tvSeries,Switch,Switch,0,1988,1988,30,"Drama,Music"
97280,tt0099496,movie,Elves,Elves,0,1989,\N,89,Horror
97633,tt0099864,tvMiniSeries,It,It,0,1990,1990,192,"Drama,Horror,Mystery"
97682,tt0099915,tvMovie,Kaleidoscope,Kaleidoscope,0,1990,\N,96,"Drama,Romance"
98376,tt0100634,tvMovie,Sky High,Sky High,0,1990,\N,95,"Drama,Family"
98850,tt0101121,tvSeries,Homefront,Homefront,0,1991,1993,60,"Drama,History,Romance"
99139,tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy"
99202,tt0101477,tvMovie,Blood Ties,Blood Ties,0,1991,\N,84,"Drama,Fantasy,Horror"
99686,tt0101970,movie,Grand Isle,Grand Isle,0,1991,\N,94,"Drama,Romance"
100121,tt0102418,movie,Matilda,Matilda,0,1990,\N,90,Comedy
100330,tt0102631,movie,Paradise,Paradise,0,1991,\N,111,Drama
100713,tt0103016,movie,Switch,Switch,0,1991,\N,103,"Comedy,Fantasy"
101509,tt0103822,tvEpisode,Black and Blue,Black and Blue,0,1992,\N,\N,"Comedy,Crime,Drama"
102072,tt0104399,tvMovie,The Healer,The Healer,0,1994,\N,130,Drama
102186,tt0104516,movie,Interceptor,Interceptor,0,1992,\N,92,"Action,Sci-Fi"
102502,tt0104841,movie,The Medium,The Medium,0,1992,\N,91,Thriller
102958,tt0105311,short,The Sandman,The Sandman,0,1991,\N,10,"Animation,Fantasy,Horror"
103562,tt0105937,tvMiniSeries,Queen,Queen,0,1993,1993,282,"Biography,Drama,Romance"
103761,tt0106140,tvSeries,Sonic the Hedgehog,Sonic the Hedgehog,0,1993,1994,22,"Action,Adventure,Animation"
104194,tt0106588,movie,Collision,Collision,0,1993,\N,\N,\N
104651,tt0107058,tvMovie,The Guilty,The Guilty,0,1992,\N,197,"Crime,Thriller"
104692,tt0107101,movie,Hellbound,Hellbound,0,1994,\N,95,"Action,Fantasy,Horror"
105267,tt0107698,short,Noah,Noah,0,1993,\N,11,"Animation,Short"
105698,tt0108144,movie,Sir,Sir,0,1993,\N,151,"Crime,Drama,Romance"
105875,tt0108326,tvMovie,Thicker Than Water,Thicker Than Water,0,1993,\N,140,Thriller
106021,tt0108473,movie,The Vanishing,The Vanishing,0,1993,\N,109,"Drama,Horror,Mystery"
106342,tt0108800,tvSeries,Heartbreak High,Heartbreak High,0,1994,1999,50,"Drama,Romance"
106812,tt0109286,movie,Blackout,Blackout,0,1994,\N,98,\N
106974,tt0109449,movie,The Club,The Club,0,1994,\N,90,Horror
107814,tt0110309,short,Last Summer,Last Summer,0,1994,\N,16,Short
107872,tt0110367,movie,Little Women,Little Women,0,1994,\N,115,"Drama,Family,Romance"
108075,tt0110572,tvEpisode,The Mother,The Mother,0,1994,\N,\N,Drama
108205,tt0110706,movie,Oblivion,Oblivion,0,1994,\N,94,"Adventure,Comedy,Crime"
108519,tt0111023,movie,Rough Diamonds,Rough Diamonds,0,1995,\N,90,"Comedy,Crime,Music"
108790,tt0111299,video,The Stranger,The Stranger,0,1995,\N,98,Action
109579,tt0112114,tvSeries,Paradise,Paradise,0,1995,\N,60,\N
109636,tt0112175,tvSeries,Spider-Man: The Animated Series,Spider-Man,0,1994,1998,23,"Action,Adventure,Animation"
109678,tt0112218,tvSeries,The Watcher,The Watcher,0,1995,1995,\N,Drama
109724,tt0112266,tvMovie,Midnight Heat,Blackout,0,1996,\N,98,"Action,Drama,Thriller"
109889,tt0112435,movie,The Baby-Sitters Club,The Baby-Sitters Club,0,1995,\N,94,"Comedy,Drama,Family"
110303,tt0112860,movie,Devotion,Devotion,0,1995,\N,123,"Drama,Romance"
110711,tt0113277,movie,Heat,Heat,0,1995,\N,170,"Action,Crime,Drama"
111117,tt0113701,movie,Love Is Blind,Love Is Blind,0,1995,\N,92,Documentary
111476,tt0114070,movie,Mind Ripper,The Outpost,0,1995,\N,96,"Horror,Sci-Fi"
111523,tt0114117,tvEpisode,Persuasion,Persuasion,0,1995,\N,107,Drama
111582,tt0114177,short,Prey,Prey,0,1995,\N,26,Short
111650,tt0114250,short,Redemption,Redemption,0,1995,\N,10,"Sci-Fi,Short"
111731,tt0114333,movie,Sanctuary,Sanctuary,0,1997,\N,97,\N
111732,tt0114334,movie,The Sandman,The Sandman,0,1995,\N,90,Horror
