,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
575417,tt0597000,tvEpisode,Celebrity,Celebrity,0,2004,\N,\N,Comedy
575938,tt0597534,tvEpisode,Invasion,Invasion,0,1962,\N,30,Western
576460,tt0598061,tvEpisode,Head to Head,Head to Head,0,1978,\N,50,"Crime,Drama,Mystery"
576490,tt0598091,tvEpisode,Man on Fire,Man on Fire,0,1976,\N,50,"Crime,Drama,Mystery"
577016,tt0598624,tvEpisode,"For Better, for Worse","For Better, for Worse",0,1988,\N,24,Comedy
577289,tt0598899,tvEpisode,Little Angel,Little Angel,0,2004,\N,\N,"Comedy,Crime,Drama"
577303,tt0598913,tvEpisode,Missing,Missing,0,1993,\N,51,"Comedy,Crime,Drama"
577337,tt0598947,tvEpisode,Playing with Fire,Playing with Fire,0,1992,\N,48,"Comedy,Crime,Drama"
577348,tt0598958,tvEpisode,Safe House,Safe House,0,2001,\N,\N,"Comedy,Crime,Drama"
577397,tt0599007,tvEpisode,The Good Doctor,The Good Doctor,0,2000,\N,\N,"Comedy,Crime,Drama"
577419,tt0599029,tvEpisode,Turn of the Tide,Turn of the Tide,0,1994,\N,51,"Comedy,Crime,Drama"
577752,tt0599365,tvEpisode,Home,Home,0,1973,\N,\N,Drama
578039,tt0599654,tvEpisode,The Unforgivable,The Unforgivable,0,1955,\N,30,Drama
578180,tt0599797,tvEpisode,Redemption,Redemption,0,1999,\N,44,"Action,Adventure,Drama"
578188,tt0599805,tvEpisode,Sky High,Sky High,0,1999,\N,44,"Action,Adventure,Drama"
578214,tt0599831,tvEpisode,Twilight,Twilight,0,1998,\N,44,"Action,Adventure,Drama"
579194,tt0600824,tvEpisode,Dream,Dream,0,2003,\N,\N,"Animation,Comedy,Music"
579757,tt0601389,tvEpisode,Obsession,Obsession,0,1994,\N,49,"Action,Adventure,Fantasy"
579894,tt0601526,tvEpisode,Alone,Alone,0,1986,\N,49,"Drama,Fantasy"
579959,tt0601591,tvEpisode,The Good Doctor,The Good Doctor,0,1985,\N,49,"Drama,Fantasy"
580353,tt0602007,tvEpisode,Dynasty,Dynasty,0,2000,\N,\N,"Documentary,History"
580762,tt0602418,tvEpisode,The Informer,The Informer,0,1965,\N,30,"Comedy,War"
580882,tt0602538,tvEpisode,"For Better, for Worse","For Better, for Worse",0,2001,\N,60,Drama
580883,tt0602539,tvEpisode,"For Better, for Worse","For Better, for Worse",0,2003,\N,60,Drama
580906,tt0602562,tvEpisode,Home,Home,0,2003,\N,60,Drama
580978,tt0602634,tvEpisode,Playing with Fire,Playing with Fire,0,2004,\N,60,Drama
581038,tt0602694,tvEpisode,Thicker Than Water,Thicker Than Water,0,2004,\N,60,Drama
582189,tt0603847,tvEpisode,Aftermath,Aftermath,0,1965,\N,\N,"Action,Crime,Drama"
582637,tt0604295,tvEpisode,Undercover,Undercover,0,1969,\N,\N,"Action,Crime,Drama"
582675,tt0604334,tvEpisode,Abduction,Abduction,0,1998,\N,\N,"Crime,Drama,Mystery"
582684,tt0604343,tvEpisode,Black and Blue,Black and Blue,0,1994,\N,46,"Crime,Drama,Mystery"
583967,tt0605630,tvEpisode,Blackout,Blackout,0,1993,\N,47,"Drama,Mystery"
584022,tt0605686,tvEpisode,Blackout,Blackout,0,1983,\N,\N,"Drama,Romance"
584047,tt0605711,tvEpisode,Echoes,Echoes,0,1985,\N,\N,"Drama,Romance"
584278,tt0605943,tvEpisode,Dynasty,Dynasty,0,2002,\N,\N,Comedy
586447,tt0608119,tvEpisode,The Good Doctor,The Good Doctor,0,2005,\N,49,"Comedy,Drama"
586500,tt0608172,tvEpisode,Mother's Day,Mother's Day,0,2001,\N,\N,Comedy
586647,tt0608319,tvEpisode,Sanctuary,Sanctuary,0,1999,\N,27,"Drama,Fantasy,Horror"
586868,tt0608543,tvEpisode,The Girl Next Door,The Girl Next Door,0,1987,\N,47,"Action,Crime,Drama"
